"name","id"
"IDL Logistic","1691"
"IEWC","964"
"Iimak","296"
"Ikano","1518"
"IKD","2382"
"ILAS","1386"
"Illux","2752"
"ILN","1047"
"Ilpea","108"
"ILS","1360"
"Ilsco","1906"
"IMG LLC","3896"
"IMI","333"
"IMI (Integrated Micro Electronics)","247"
"IMI Norgren","1926"
"iMile","3503"
"Immex","346"
"IMMI","1270"
"Imp","2253"
"Impco","1073"
"Imperial Auto","3685"
"Imperial Toy","794"
"Impreso RTM","927"
"Impresos Tecnograficos","1867"
"Impro Precision","683"
"Impulso al Crecimiento","115"
"Inalsa","1263"
"Incell","1290"
"Indelpa","2085"
"Indio Products","890"
"Inditex","3968"
"Indukern","2248"
"Induspac","330"
"Industrial Medico","870"
"Infinitum Electric","3718"
"Infinity Nissan","413"
"Ingram","1656"
"Inix","216"
"Injectronic","1917"
"Injelic","3292"
"Injemex Autopartes","359"
"Innomex","2334"
"Innova","2097"
"Innova Sport","1429"
"Innovative Automation Solutions","1385"
"Inoac","2264"
"Inox","3065"
"Intcomme Logistics","1993"
"Integrity Tool & Mold","460"
"Interconnect (NAPS)","3109"
"Intermek","209"
"Intermex","4058"
"International Brakes","1648"
"International Supply","2017"
"Intersep","93"
"Inteva","420"
"Intica System","634"
"Intralox","3939"
"Inventec","882"
"Inventronics","1657"
"Invisible System","1913"
"INX","2797"
"Inzi Display","825"
"Ipar Mold","990"
"IQA","978"
"Iron Mountain","3737"
"Irving","1170"
"Ise Metal","1050"
"Isewan","191"
"Isgo","1587"
"Ishimitsu Industry","907"
"Isobolta","626"
"Israeli Manufacturing","2022"
"ISRI","83"
"Isringhausen","2756"
"Italika","530"
"Item Sur","3120"
"Iter Americana","365"
"Itron","1724"
"ITT Industries Motion Technologies","432"
"Ivemsa - World Depot","2226"
"Ivex Packaging","243"
"Izzi","668"
"J and S","1576"
"J and Y Foam","1699"
"J Cox","899"
"J K Cabinetry","1650"
"Jabil","444"
"JAC Products","4046"
"Jacuzzi","1167"
"Jadebox","3734"
"Jamerr","3018"
"Jarlin","1620"
"Javentures","930"
"Jaztea","3814"
"JCI","3827"
"JCK Plastics","1847"
"JCox","1708"
"JD Group","1757"
"JDD Tech","3480"
"Jetai Mexico Packing","3905"
"JHR","3449"
"Jiahua Chemicals","3717"
"Jiaxipera","3428"
"Jinjang","3731"
"JJR","1800"
"JNM de Mexico","475"
"John Deere","2925"
"Johnson Controls","63"
"Jonathan Lewis Furniture","65"
"Joncen","3701"
"Jones Plastics","1511"
"Jones Sign","1298"
"Joybird Nest","2255"
"Joyson Safety","1870"
"Joysonquin Automotive","3366"
"JP Express","2637"
"JS Manufactura","349"
"JS Manufacture","1368"
"JSP","3859"
"Judd Wire","3647"
"Jugos del Valle","508"
"Juguetes Famosa","2357"
"Julian Electric","322"
"Julong","3610"
"Jumex","1232"
"Jusda","3741"
"Jusda Logistic","1603"
"Justo","2627"
"JV and H","1942"
"K Chemical","79"
"K-Flex","1453"
"K-Tech","1007"
"K&N","166"
"K+N","299"
"Kalkai","3946"
"Kamax","1259"
"Kanepackage","1081"
"Kasco","3317"
"Kathion","337"
"Kaufmman","1019"
"Kautex","326"
"Kavak","1734"
"Kawasaki","1629"
"KB Component","2316"
"KC Jones Plating","327"
"Keats de Mexico","2061"
"Kellogs","1698"
"Kemin","2773"
"Kenit Recycling","1825"
"Kenshi","1675"
"Kern - Liebers","123"
"Kern Liebers","521"
"Kerr Industries","3488"
"KET Engineered","2037"
"Kewen","1314"
"Key Quimica","1340"
"Key Safety System","960"
"KeyQuimic","1738"
"Keytronics","2189"
"KHI Building","3025"
"Kimball Electronics","2362"
"Kimberly Clark","1608"
"King Castle","1795"
"King Machine","895"
"Kirchhoff","3524"
"Kleen Bebe","847"
"Kloeckner","3941"
"Kloeckner Metals","1702"
"Kmin","113"
"KNW","110"
"KOA Automotive","3711"
"Koam","96"
"Koandi (Kua Mex Food)","2136"
